id,bikes,slots,maxcapacity,bike_prop,slots_prop,categoria,canasta_categoria,1,2,3,4
1,26,1,27,0.962962962963,0.037037037037,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
2,9,2,11,0.818181818182,0.181818181818,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
3,17,18,35,0.485714285714,0.514285714286,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
4,5,9,14,0.357142857143,0.642857142857,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
5,11,1,12,0.916666666667,0.0833333333333,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
6,14,0,14,1.0,0.0,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
7,5,18,23,0.217391304348,0.782608695652,1,"[0, 0.25)",1.0,0.0,0.0,0.0
8,1,10,11,0.0909090909091,0.909090909091,1,"[0, 0.25)",1.0,0.0,0.0,0.0
9,6,18,24,0.25,0.75,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
10,21,15,36,0.583333333333,0.416666666667,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
11,1,14,15,0.0666666666667,0.933333333333,1,"[0, 0.25)",1.0,0.0,0.0,0.0
12,10,5,15,0.666666666667,0.333333333333,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
13,24,11,35,0.685714285714,0.314285714286,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
14,1,35,36,0.0277777777778,0.972222222222,1,"[0, 0.25)",1.0,0.0,0.0,0.0
15,22,1,23,0.95652173913,0.0434782608696,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
16,27,8,35,0.771428571429,0.228571428571,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
17,4,23,27,0.148148148148,0.851851851852,1,"[0, 0.25)",1.0,0.0,0.0,0.0
18,4,32,36,0.111111111111,0.888888888889,1,"[0, 0.25)",1.0,0.0,0.0,0.0
19,1,23,24,0.0416666666667,0.958333333333,1,"[0, 0.25)",1.0,0.0,0.0,0.0
20,3,21,24,0.125,0.875,1,"[0, 0.25)",1.0,0.0,0.0,0.0
21,24,3,27,0.888888888889,0.111111111111,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
22,0,35,35,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
23,7,29,36,0.194444444444,0.805555555556,1,"[0, 0.25)",1.0,0.0,0.0,0.0
24,1,25,26,0.0384615384615,0.961538461538,1,"[0, 0.25)",1.0,0.0,0.0,0.0
25,1,25,26,0.0384615384615,0.961538461538,1,"[0, 0.25)",1.0,0.0,0.0,0.0
26,0,17,17,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
27,1,35,36,0.0277777777778,0.972222222222,1,"[0, 0.25)",1.0,0.0,0.0,0.0
28,0,27,27,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
29,14,22,36,0.388888888889,0.611111111111,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
30,28,8,36,0.777777777778,0.222222222222,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
31,6,30,36,0.166666666667,0.833333333333,1,"[0, 0.25)",1.0,0.0,0.0,0.0
32,3,32,35,0.0857142857143,0.914285714286,1,"[0, 0.25)",1.0,0.0,0.0,0.0
33,17,9,26,0.653846153846,0.346153846154,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
34,21,15,36,0.583333333333,0.416666666667,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
35,15,21,36,0.416666666667,0.583333333333,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
36,1,32,33,0.030303030303,0.969696969697,1,"[0, 0.25)",1.0,0.0,0.0,0.0
37,3,16,19,0.157894736842,0.842105263158,1,"[0, 0.25)",1.0,0.0,0.0,0.0
38,0,36,36,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
39,1,20,21,0.047619047619,0.952380952381,1,"[0, 0.25)",1.0,0.0,0.0,0.0
40,8,16,24,0.333333333333,0.666666666667,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
41,17,19,36,0.472222222222,0.527777777778,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
42,5,19,24,0.208333333333,0.791666666667,1,"[0, 0.25)",1.0,0.0,0.0,0.0
43,16,16,32,0.5,0.5,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
44,1,24,25,0.04,0.96,1,"[0, 0.25)",1.0,0.0,0.0,0.0
45,14,22,36,0.388888888889,0.611111111111,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
46,5,30,35,0.142857142857,0.857142857143,1,"[0, 0.25)",1.0,0.0,0.0,0.0
47,14,10,24,0.583333333333,0.416666666667,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
48,0,12,12,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
49,9,26,35,0.257142857143,0.742857142857,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
50,2,24,26,0.0769230769231,0.923076923077,1,"[0, 0.25)",1.0,0.0,0.0,0.0
51,21,6,27,0.777777777778,0.222222222222,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
52,20,1,21,0.952380952381,0.047619047619,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
53,13,1,14,0.928571428571,0.0714285714286,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
54,7,27,34,0.205882352941,0.794117647059,1,"[0, 0.25)",1.0,0.0,0.0,0.0
