id,maxcapacity
1,27
2,12
3,36
4,14
5,12
6,15
7,24
8,12
9,23
10,36
11,15
12,15
13,35
14,36
15,24
16,36
17,27
18,36
19,24
20,23
21,27
22,35
23,35
24,25
25,26
26,18
27,35
28,22
29,36
30,36
31,36
32,36
33,26
34,36
35,36
36,33
37,21
38,36
39,21
40,24
41,33
42,24
43,33
44,26
45,36
46,36
47,21
48,11
49,33
50,27
51,27
52,21
53,15
54,36
55,15
56,36
57,12
58,26
59,36
60,35
61,34
62,18
63,36
64,34
65,18
66,26
67,24
68,29
69,21
70,36
71,36
72,25
73,36
74,26
75,15
76,21
77,15
78,36
79,27
80,36
81,27
82,11
83,15
84,21
85,14
86,21
87,24
88,15
89,12
90,26
91,21
92,21
93,35
94,24
95,18
96,35
97,27
98,34
99,30
100,24
101,33
102,15
103,27
104,15
105,24
106,27
107,36
108,36
109,30
110,36
111,24
112,24
113,21
114,24
115,26
116,24
117,33
118,21
119,36
120,24
121,18
122,30
123,30
124,36
125,36
126,34
127,30
128,23
129,24
130,20
131,18
132,24
133,35
134,33
135,35
136,25
137,27
138,24
139,23
140,18
141,30
142,30
143,21
144,27
145,26
146,24
147,27
148,24
149,36
150,27
151,27
152,30
153,21
154,33
155,33
156,18
157,30
158,36
159,36
160,30
161,21
162,27
163,34
164,26
165,19
166,24
167,24
168,21
169,21
170,20
171,27
172,18
173,21
174,32
175,23
176,36
177,21
178,28
179,26
180,29
181,24
182,34
183,36
184,36
185,30
186,18
187,21
188,14
189,18
190,24
191,21
192,36
193,36
194,22
195,23
196,27
197,35
198,27
199,24
200,27
201,17
202,21
203,24
204,26
205,21
206,24
207,24
208,27
209,24
210,27
211,35
212,36
213,26
214,24
215,23
216,24
217,36
218,24
219,35
220,24
221,24
222,30
223,30
224,20
225,24
226,26
227,24
228,21
229,21
230,18
231,26
232,30
233,14
234,27
235,27
236,30
237,30
238,30
239,20
240,36
241,35
242,30
243,27
244,18
245,22
246,15
247,27
248,27
249,18
250,27
251,17
252,18
253,20
254,30
255,34
256,27
257,21
258,30
259,24
260,23
261,30
262,32
263,30
264,36
265,36
266,36
267,36
268,36
269,35
270,35
271,36
272,36
273,36
274,36
275,35
276,30
277,27
278,21
279,29
280,36
281,30
282,18
283,21
284,32
285,18
286,21
287,21
288,17
289,17
290,27
291,27
292,36
293,36
294,24
295,36
296,27
297,33
298,21
299,22
300,21
301,24
302,36
303,27
304,33
305,36
306,36
307,27
308,30
309,27
310,15
311,17
312,27
313,24
314,21
315,21
316,27
317,36
318,21
319,27
320,18
321,24
322,26
323,21
324,18
325,24
326,36
327,28
328,27
329,24
330,18
331,26
332,24
333,21
334,36
335,33
336,21
337,21
338,20
339,20
340,30
341,30
342,36
343,18
344,26
345,21
346,24
347,27
348,18
349,21
350,30
351,18
352,30
353,27
354,24
355,21
356,17
357,24
358,24
359,33
360,27
361,26
362,20
363,20
364,27
365,18
366,24
367,21
368,24
369,36
370,30
371,21
372,21
373,18
374,30
375,24
376,27
377,36
378,29
379,35
380,27
381,27
382,24
383,15
384,21
385,36
386,36
387,16
388,21
389,36
390,36
391,27
392,21
393,36
394,36
395,30
396,21
397,29
398,26
399,36
400,30
401,33
402,30
403,30
404,30
405,30
406,21
407,21
408,27
409,24
410,23
411,36
412,36
413,34
414,30
415,30
416,30
417,29
418,35
419,30
420,26
421,30
422,21
423,24
424,15
425,36
426,36
427,21
428,27
429,21
430,30
431,20
432,36
433,20
434,27
435,36
436,30
437,21
438,24
439,17
440,36
441,36
442,24
443,29
444,18
445,36
446,36
447,27
448,29
449,36
450,30
451,36
452,18
