"fecha_hora","date","hour","O3","PM10","MAX_DIA_O3","MAX_DIA_PM10"
2015-01-01 10:00:00,2015-01-01,10,11,127,49,128
2015-01-01 11:00:00,2015-01-01,11,33,128,49,128
2015-01-01 06:00:00,2015-01-01,6,4,125,49,128
2015-01-01 07:00:00,2015-01-01,7,4,127,49,128
2015-01-01 08:00:00,2015-01-01,8,4,127,49,128
2015-01-01 09:00:00,2015-01-01,9,4,127,49,128
2015-01-02 10:00:00,2015-01-02,10,9,81,28,111
2015-01-02 11:00:00,2015-01-02,11,14,71,28,111
2015-01-02 06:00:00,2015-01-02,6,2,104,28,111
2015-01-02 07:00:00,2015-01-02,7,2,102,28,111
2015-01-02 08:00:00,2015-01-02,8,2,97,28,111
2015-01-02 09:00:00,2015-01-02,9,4,90,28,111
2015-01-05 10:00:00,2015-01-05,10,6,49,19,63
2015-01-05 11:00:00,2015-01-05,11,13,48,19,63
2015-01-05 06:00:00,2015-01-05,6,11,52,19,63
2015-01-05 07:00:00,2015-01-05,7,8,52,19,63
2015-01-05 08:00:00,2015-01-05,8,4,51,19,63
2015-01-05 09:00:00,2015-01-05,9,4,51,19,63
2015-01-06 10:00:00,2015-01-06,10,5,68,30,81
2015-01-06 11:00:00,2015-01-06,11,7,73,30,81
2015-01-06 06:00:00,2015-01-06,6,2,58,30,81
2015-01-06 07:00:00,2015-01-06,7,2,60,30,81
2015-01-06 08:00:00,2015-01-06,8,2,61,30,81
2015-01-06 09:00:00,2015-01-06,9,3,64,30,81
2015-01-07 10:00:00,2015-01-07,10,6,55,33,70
2015-01-07 11:00:00,2015-01-07,11,10,51,33,70
2015-01-07 06:00:00,2015-01-07,6,4,65,33,70
2015-01-07 07:00:00,2015-01-07,7,2,64,33,70
2015-01-07 08:00:00,2015-01-07,8,2,61,33,70
2015-01-07 09:00:00,2015-01-07,9,4,60,33,70
2015-01-08 10:00:00,2015-01-08,10,11,25,28,44
2015-01-08 11:00:00,2015-01-08,11,14,24,28,44
2015-01-08 06:00:00,2015-01-08,6,18,44,28,44
2015-01-08 07:00:00,2015-01-08,7,7,26,28,44
2015-01-08 08:00:00,2015-01-08,8,7,26,28,44
2015-01-08 09:00:00,2015-01-08,9,13,25,28,44
2015-01-09 10:00:00,2015-01-09,10,6,70,43,97
2015-01-09 11:00:00,2015-01-09,11,10,74,43,97
2015-01-09 06:00:00,2015-01-09,6,2,61,43,97
2015-01-09 07:00:00,2015-01-09,7,2,63,43,97
2015-01-09 08:00:00,2015-01-09,8,2,63,43,97
2015-01-09 09:00:00,2015-01-09,9,4,67,43,97
2015-01-12 10:00:00,2015-01-12,10,9,83,118,99
2015-01-12 11:00:00,2015-01-12,11,16,84,118,99
2015-01-12 06:00:00,2015-01-12,6,3,73,118,99
2015-01-12 07:00:00,2015-01-12,7,2,74,118,99
2015-01-12 08:00:00,2015-01-12,8,3,77,118,99
2015-01-12 09:00:00,2015-01-12,9,4,81,118,99
2015-01-13 10:00:00,2015-01-13,10,13,103,122,106
2015-01-13 11:00:00,2015-01-13,11,20,103,122,106
2015-01-13 06:00:00,2015-01-13,6,2,104,122,106
2015-01-13 07:00:00,2015-01-13,7,2,104,122,106
2015-01-13 08:00:00,2015-01-13,8,2,104,122,106
2015-01-13 09:00:00,2015-01-13,9,5,103,122,106
2015-01-14 10:00:00,2015-01-14,10,8,103,111,106
2015-01-14 11:00:00,2015-01-14,11,17,103,111,106
2015-01-14 06:00:00,2015-01-14,6,2,103,111,106
2015-01-14 07:00:00,2015-01-14,7,2,103,111,106
2015-01-14 08:00:00,2015-01-14,8,2,103,111,106
2015-01-14 09:00:00,2015-01-14,9,4,103,111,106
2015-01-15 10:00:00,2015-01-15,10,6,99,112,101
2015-01-15 11:00:00,2015-01-15,11,16,99,112,101
2015-01-15 06:00:00,2015-01-15,6,2,96,112,101
2015-01-15 07:00:00,2015-01-15,7,3,96,112,101
2015-01-15 08:00:00,2015-01-15,8,2,97,112,101
2015-01-15 09:00:00,2015-01-15,9,3,99,112,101
2015-01-16 10:00:00,2015-01-16,10,12,100,100,102
2015-01-16 11:00:00,2015-01-16,11,22,99,100,102
2015-01-16 06:00:00,2015-01-16,6,2,101,100,102
2015-01-16 07:00:00,2015-01-16,7,2,101,100,102
2015-01-16 08:00:00,2015-01-16,8,3,101,100,102
2015-01-16 09:00:00,2015-01-16,9,4,101,100,102
2015-01-19 10:00:00,2015-01-19,10,5,74,57,88
